,Group,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
Denmark,3,-0.03610934,0.351118812,0.902649926,0.911768005,0.387716474,0.74406318,0.622017142,0.57664423,0.553197127,0.65657848,1,0.670374385,0.885033638,0.825403343,0.756657144,0.569726271,0.767783978,0.507842984,0.252067948,0.154768258,0.636138166,0.601263194,0.810986947,0.589850337,0.59081666,0.693172754,0.59540984,0.761238126,0.558112406,0.859546882,0.654780621,0.758449045,0.590626324,0.825877859,0.687208403,0.588380113,0.760427513,0.918143943,0.532721984,0.468995225,0.506829638,0.747635633,0.813457767
Estonia,3,0.135834534,0.235850936,0.616062918,0.562588842,0.431770385,0.666705761,0.799591535,0.650253986,0.600220601,0.614703056,0.670374385,1,0.750943843,0.591000106,0.710223386,0.201502258,0.582231803,0.481072611,0.402295469,0.461419564,0.352637604,0.374904026,0.635497715,0.659512577,0.417541355,0.950460886,0.884347074,0.573649111,0.605689841,0.624805321,0.505123063,0.652107223,0.527849165,0.495995609,0.735969949,0.541730237,0.786063688,0.611544819,0.694683325,0.486524184,0.608066129,0.66670324,0.698990408
Finland,3,0.09419932,0.326288587,0.831639265,0.829272755,0.525024984,0.82889272,0.71218833,0.668488415,0.620567051,0.601185321,0.885033638,0.750943843,1,0.849328823,0.822051034,0.443125336,0.738998381,0.493287739,0.40365917,0.28052491,0.551633841,0.668734543,0.84897855,0.649679401,0.638173016,0.72854381,0.701409103,0.78461949,0.605452773,0.917788602,0.622188502,0.8080747,0.65978358,0.796128268,0.6747048,0.565632041,0.772994273,0.805552862,0.573051902,0.610468444,0.609871962,0.706816539,0.849874375
France,3,0.124550302,0.366179441,0.709827629,0.810614309,0.474452673,0.803281939,0.615264134,0.596527941,0.448812368,0.565340934,0.825403343,0.591000106,0.849328823,1,0.82139118,0.329791858,0.698898435,0.437191975,0.270165051,0.183869046,0.664951976,0.737535707,0.878172323,0.585393401,0.519435712,0.599871636,0.57564797,0.793061351,0.577239725,0.921363636,0.550824764,0.698479822,0.525564279,0.791943564,0.553816779,0.435657642,0.664171142,0.739316146,0.488096495,0.652129101,0.526517441,0.685383106,0.752088868
Germany,3,0.24443093,0.107592044,0.636945164,0.680312213,0.538010354,0.755692915,0.789016152,0.74416173,0.530818766,0.730525911,0.756657144,0.710223386,0.822051034,0.82139118,1,0.112690753,0.609468409,0.360243968,0.217257843,0.265748253,0.455136053,0.659991028,0.874870834,0.751092848,0.5611827,0.749599338,0.6969655,0.833669851,0.677575154,0.853023553,0.559697901,0.728152715,0.599014762,0.687907358,0.739013437,0.465076696,0.777889464,0.640644024,0.486345524,0.619191851,0.60221157,0.583734785,0.771645231
Greece,3,-0.217475605,0.413284638,0.67859755,0.617591331,0.155447952,0.278075839,0.058889337,-0.040357094,0.267703396,0.210766171,0.569726271,0.201502258,0.443125336,0.329791858,0.112690753,1,0.573441217,0.229664817,0.149856409,0.011925971,0.355848871,0.08639872,0.356439694,0.214244808,0.29717616,0.204219858,0.193342485,0.277241878,-0.026303884,0.37991461,0.46895429,0.379587474,0.236161666,0.625702715,0.329618539,0.349113882,0.303452995,0.703218615,0.311713117,0.105804706,0.069791164,0.476460988,0.346560542
Hungary,3,-0.0325529,0.390930902,0.81467398,0.804860312,0.244204708,0.656326233,0.363313012,0.377087729,0.544149031,0.509983731,0.767783978,0.582231803,0.738998381,0.698898435,0.609468409,0.573441217,1,0.469212623,0.152448699,0.002583112,0.479911712,0.378811531,0.69518827,0.493639034,0.398342753,0.601771863,0.561945184,0.666970194,0.357396468,0.665997619,0.55733152,0.454842748,0.303756982,0.71350341,0.537947627,0.272230559,0.536962464,0.829231771,0.7608076,0.282825863,0.270014926,0.659613726,0.687710443
Iceland,3,0.000828965,0.514428473,0.414156451,0.425305382,0.079762305,0.508387012,0.278916676,0.459141225,0.607011649,0.476987266,0.507842984,0.481072611,0.493287739,0.437191975,0.360243968,0.229664817,0.469212623,1,0.181197295,0.128934296,0.458122595,0.464540344,0.362797519,0.458969388,0.139288845,0.47850806,0.345863271,0.551051744,0.478836811,0.478028167,0.347944814,0.401902888,0.297599017,0.476282946,0.416724738,0.433640914,0.33286538,0.508631832,0.269191692,0.251678379,0.479811984,0.519921457,0.680352043
India,5,0.241666143,0.215977248,0.221234675,0.205869223,0.20888183,0.395354796,0.331626717,0.586260256,0.329392479,0.035613161,0.252067948,0.402295469,0.40365917,0.270165051,0.217257843,0.149856409,0.152448699,0.181197295,1,0.207752446,0.214419491,0.141763422,0.333592793,0.147777534,0.237746836,0.22327059,0.296309964,0.252534851,0.356536265,0.369217283,0.107973312,0.342986383,0.442186966,0.332225016,0.196359516,0.298766514,0.150208723,0.23475214,0.288517984,0.323483948,0.346115286,0.244687668,0.319870397
Indonesia,5,0.089224287,-0.011322978,0.075046057,0.092453792,0.499238369,0.1119359,0.55115056,0.562570598,0.022214244,0.436942481,0.154768258,0.461419564,0.28052491,0.183869046,0.265748253,0.011925971,0.002583112,0.128934296,0.207752446,1,-0.062137957,0.124022806,0.284935544,0.361545151,0.262380593,0.414077034,0.533388432,0.012983419,0.101485846,0.191525701,0.162043571,0.372076106,0.336114308,0.023096785,0.408211491,0.297217175,0.502735213,0.073052435,0.262113509,0.31904088,0.531820164,0.280360371,0.104160395
Ireland,3,0.020049231,0.284203927,0.552669353,0.61400457,-0.125525031,0.537317408,0.250298978,0.332077604,0.266771991,0.35747577,0.636138166,0.352637604,0.551633841,0.664951976,0.455136053,0.355848871,0.479911712,0.458122595,0.214419491,-0.062137957,1,0.515013582,0.658117734,0.26012556,0.221863458,0.36254425,0.199774849,0.559354382,0.348922669,0.640391124,0.208021862,0.383001545,0.396229824,0.708618759,0.246960332,0.39585576,0.264933499,0.694159491,0.532200132,0.211405394,0.238300584,0.610321271,0.639440436
Israel,6,-0.057167011,0.377583342,0.468684065,0.592985522,0.464562282,0.648545501,0.512966123,0.570826031,0.326460651,0.537780325,0.601263194,0.374904026,0.668734543,0.737535707,0.659991028,0.08639872,0.378811531,0.464540344,0.141763422,0.124022806,0.515013582,1,0.609153463,0.622496876,0.625253267,0.392713539,0.285475467,0.724298271,0.725890884,0.76474539,0.477051434,0.609754154,0.509796892,0.566860686,0.36716838,0.455004982,0.490308172,0.476694985,0.710623782,0.560897974,0.620374864,0.473742519,0.713645076
Italy,3,0.241848166,0.227161934,0.74048853,0.790025229,0.438531779,0.713008855,0.71002529,0.651926799,0.489863937,0.666910539,0.810986947,0.635497715,0.84897855,0.878172323,0.874870834,0.356439694,0.69518827,0.362797519,0.333592793,0.284935544,0.658117734,0.609153463,1,0.585562816,0.519229898,0.663547753,0.620453822,0.753751671,0.503148418,0.883923353,0.460908377,0.686077354,0.652385576,0.799466056,0.644755502,0.449849993,0.658360708,0.788223843,0.639724993,0.559611961,0.54925543,0.667909286,0.747003396
Japan,5,0.077735121,0.248246158,0.545158435,0.584577397,0.614514644,0.604896838,0.681387285,0.520544138,0.466816839,0.703268754,0.589850337,0.659512577,0.649679401,0.585393401,0.751092848,0.214244808,0.493639034,0.458969388,0.147777534,0.361545151,0.26012556,0.622496876,0.585562816,1,0.640236022,0.674858071,0.667388525,0.621382181,0.509935036,0.644579539,0.60155211,0.682555479,0.471281741,0.554070485,0.788138154,0.55921163,0.720841221,0.505169321,0.446213986,0.497310784,0.654631637,0.604974903,0.706207683
Korea,5,-0.042816396,0.193024892,0.58539147,0.665612026,0.579619976,0.498493349,0.508661746,0.445767201,0.18566846,0.513949238,0.59081666,0.417541355,0.638173016,0.519435712,0.5611827,0.29717616,0.398342753,0.139288845,0.237746836,0.262380593,0.221863458,0.625253267,0.519229898,0.640236022,1,0.353980091,0.392537655,0.469848348,0.27703711,0.616415091,0.656772051,0.711283378,0.437399932,0.464578638,0.487646469,0.507744961,0.574330134,0.501499622,0.536982999,0.385220564,0.473339243,0.562740476,0.549446958
Latvia,3,0.08347193,0.223495482,0.627211582,0.572133015,0.410238704,0.624256229,0.797101739,0.666883532,0.608101886,0.696235185,0.693172754,0.950460886,0.72854381,0.599871636,0.749599338,0.204219858,0.601771863,0.47850806,0.22327059,0.414077034,0.36254425,0.392713539,0.663547753,0.674858071,0.353980091,1,0.860373409,0.591061048,0.58235019,0.612628776,0.503839955,0.625716537,0.490212633,0.505836738,0.77598394,0.537339072,0.822443269,0.647392017,0.712842984,0.466098965,0.560676687,0.63629721,0.687468698
Lithuania,3,0.20493284,0.089905444,0.53231609,0.527771948,0.533546341,0.563118516,0.728037834,0.497973572,0.465828276,0.56545282,0.59540984,0.884347074,0.701409103,0.57564797,0.6969655,0.193342485,0.561945184,0.345863271,0.296309964,0.533388432,0.199774849,0.285475467,0.620453822,0.667388525,0.392537655,0.860373409,1,0.481742881,0.501216807,0.585290486,0.43596767,0.612866306,0.447527825,0.437929185,0.805685844,0.483284251,0.781025095,0.502734731,0.596678329,0.489602265,0.583753197,0.597884834,0.559710075
Luxembourg,3,0.078244671,0.339124009,0.656234977,0.679217046,0.331359979,0.766607362,0.53908818,0.684946041,0.557695399,0.613132847,0.761238126,0.573649111,0.78461949,0.793061351,0.833669851,0.277241878,0.666970194,0.551051744,0.252534851,0.012983419,0.559354382,0.724298271,0.753751671,0.621382181,0.469848348,0.591061048,0.481742881,1,0.698927773,0.82855752,0.646443411,0.659337941,0.536537699,0.763457546,0.543362046,0.434831467,0.582044815,0.682311574,0.389594812,0.575938408,0.502833843,0.605284631,0.832489365
Mexico,2,0.241089692,0.010561495,0.404566355,0.468373212,0.410884335,0.64748966,0.700761368,0.701434146,0.520372644,0.549742207,0.558112406,0.605689841,0.605452773,0.577239725,0.677575154,-0.026303884,0.357396468,0.478836811,0.356536265,0.101485846,0.348922669,0.725890884,0.503148418,0.509935036,0.27703711,0.58235019,0.501216807,0.698927773,1,0.651380294,0.271212876,0.604488125,0.599383481,0.48117786,0.446117818,0.581225442,0.505757176,0.381596224,-0.012648085,0.430315227,0.548466051,0.325506305,0.701481999
Netherlands,3,0.154121613,0.307467418,0.755715838,0.813641322,0.534423755,0.854686366,0.658941397,0.687766855,0.549287602,0.574643298,0.859546882,0.624805321,0.917788602,0.921363636,0.853023553,0.37991461,0.665997619,0.478028167,0.369217283,0.191525701,0.640391124,0.76474539,0.883923353,0.644579539,0.616415091,0.612628776,0.585290486,0.82855752,0.651380294,1,0.585008994,0.796758956,0.615644232,0.838094888,0.608718161,0.528404147,0.70354876,0.762228424,0.577106764,0.629653454,0.598686576,0.710015386,0.844560119
New Zealand,4,-0.210519307,0.518741591,0.595629759,0.556773399,0.48864313,0.613288622,0.423723414,0.513990648,0.395305446,0.513029078,0.654780621,0.505123063,0.622188502,0.550824764,0.559697901,0.46895429,0.55733152,0.347944814,0.107973312,0.162043571,0.208021862,0.477051434,0.460908377,0.60155211,0.656772051,0.503839955,0.43596767,0.646443411,0.271212876,0.585008994,1,0.636217292,0.347894902,0.54556382,0.526133074,0.465848466,0.636855187,0.564095194,0.419112227,0.432030843,0.402530391,0.579324112,0.579523397
Norway,3,0.089206451,0.178320084,0.684594035,0.708307068,0.599008869,0.69405333,0.705306619,0.682402508,0.419916008,0.623696727,0.758449045,0.652107223,0.8080747,0.698479822,0.728152715,0.379587474,0.454842748,0.401902888,0.342986383,0.372076106,0.383001545,0.609754154,0.686077354,0.682555479,0.711283378,0.625716537,0.612866306,0.659337941,0.604488125,0.796758956,0.636217292,1,0.589661085,0.631093146,0.637356728,0.632814833,0.781046668,0.627090079,0.41913934,0.606424437,0.612808163,0.71227993,0.732356827
Poland,3,0.28390753,0.232438156,0.535669526,0.52067451,0.424758584,0.472706156,0.697923084,0.64488241,0.441159705,0.437009804,0.590626324,0.527849165,0.65978358,0.525564279,0.599014762,0.236161666,0.303756982,0.297599017,0.442186966,0.336114308,0.396229824,0.509796892,0.652385576,0.471281741,0.437399932,0.490212633,0.447527825,0.536537699,0.599383481,0.615644232,0.347894902,0.589661085,1,0.57096259,0.473762467,0.542988366,0.480597396,0.534117588,0.645210901,0.489808084,0.679650436,0.391151856,0.543280973
Portugal,3,0.116923461,0.365058823,0.781268989,0.805005545,0.308129897,0.748658114,0.482224178,0.475481625,0.533997776,0.503402407,0.825877859,0.495995609,0.796128268,0.791943564,0.687907358,0.625702715,0.71350341,0.476282946,0.332225016,0.023096785,0.708618759,0.566860686,0.799466056,0.554070485,0.464578638,0.505836738,0.437929185,0.763457546,0.48117786,0.838094888,0.54556382,0.631093146,0.57096259,1,0.537471569,0.540214125,0.546893843,0.859315545,0.570243504,0.417397568,0.41641985,0.664128451,0.790986931
Slovak Republic,3,0.084482947,0.159490859,0.600584651,0.605870416,0.584403672,0.46303623,0.715867299,0.605970454,0.48413362,0.749681877,0.687208403,0.735969949,0.6747048,0.553816779,0.739013437,0.329618539,0.537947627,0.416724738,0.196359516,0.408211491,0.246960332,0.36716838,0.644755502,0.788138154,0.487646469,0.77598394,0.805685844,0.543362046,0.446117818,0.608718161,0.526133074,0.637356728,0.473762467,0.537471569,1,0.56278565,0.804961841,0.607652023,0.376130188,0.488932005,0.583216343,0.555560808,0.584480021
Slovenia,3,0.106376715,0.208581257,0.457401668,0.515421128,0.478324881,0.43281937,0.568751735,0.632596036,0.287411188,0.492173274,0.588380113,0.541730237,0.565632041,0.435657642,0.465076696,0.349113882,0.272230559,0.433640914,0.298766514,0.297217175,0.39585576,0.455004982,0.449849993,0.55921163,0.507744961,0.537339072,0.483284251,0.434831467,0.581225442,0.528404147,0.465848466,0.632814833,0.542988366,0.540214125,0.56278565,1,0.581881689,0.525822337,0.5124843,0.26434339,0.479871512,0.560034285,0.57955443
South Africa,6,0.08893743,0.123083577,0.63685243,0.642202924,0.64621907,0.633604553,0.785454579,0.707609915,0.466277862,0.696601657,0.760427513,0.786063688,0.772994273,0.664171142,0.777889464,0.303452995,0.536962464,0.33286538,0.150208723,0.502735213,0.264933499,0.490308172,0.658360708,0.720841221,0.574330134,0.822443269,0.781025095,0.582044815,0.505757176,0.70354876,0.636855187,0.781046668,0.480597396,0.546893843,0.804961841,0.581881689,1,0.615570108,0.419374526,0.627405316,0.553060477,0.594772898,0.622787425
Spain,3,-0.054802674,0.401433226,0.926290848,0.917236159,0.226443517,0.650609957,0.510519237,0.455675001,0.534342407,0.615736297,0.918143943,0.611544819,0.805552862,0.739316146,0.640644024,0.703218615,0.829231771,0.508631832,0.23475214,0.073052435,0.694159491,0.476694985,0.788223843,0.505169321,0.501499622,0.647392017,0.502734731,0.682311574,0.381596224,0.762228424,0.564095194,0.627090079,0.534117588,0.859315545,0.607652023,0.525822337,0.615570108,1,0.573289301,0.321261552,0.374996863,0.726237746,0.763735698
Sweden,3,-0.012189153,0.260066504,0.530816643,0.493182663,0.328466358,0.510960869,0.64963705,0.656820402,0.339605787,0.691586864,0.532721984,0.694683325,0.573051902,0.488096495,0.486345524,0.311713117,0.7608076,0.269191692,0.288517984,0.262113509,0.532200132,0.710623782,0.639724993,0.446213986,0.536982999,0.712842984,0.596678329,0.389594812,-0.012648085,0.577106764,0.419112227,0.41913934,0.645210901,0.570243504,0.376130188,0.5124843,0.419374526,0.573289301,1,0.205630481,0.405298507,0.658931562,0.549554271
Switzerland,3,0.261419905,0.332482816,0.344782773,0.381433489,0.578454829,0.492640758,0.551708086,0.611639531,0.351966082,0.352719782,0.468995225,0.486524184,0.610468444,0.652129101,0.619191851,0.105804706,0.282825863,0.251678379,0.323483948,0.31904088,0.211405394,0.560897974,0.559611961,0.497310784,0.385220564,0.466098965,0.489602265,0.575938408,0.430315227,0.629653454,0.432030843,0.606424437,0.489808084,0.417397568,0.488932005,0.26434339,0.627405316,0.321261552,0.205630481,1,0.522593869,0.322878818,0.402773015
Turkey,6,0.096138048,0.29040293,0.425016774,0.424884217,0.553744489,0.490607827,0.716932634,0.596451492,0.430976113,0.620401656,0.506829638,0.608066129,0.609871962,0.526517441,0.60221157,0.069791164,0.270014926,0.479811984,0.346115286,0.531820164,0.238300584,0.620374864,0.54925543,0.654631637,0.473339243,0.560676687,0.583753197,0.502833843,0.548466051,0.598686576,0.402530391,0.612808163,0.679650436,0.41641985,0.583216343,0.479871512,0.553060477,0.374996863,0.405298507,0.522593869,1,0.475512359,0.60354851
United Kingdom,3,-0.063187956,0.295294348,0.73841791,0.736525765,0.235759085,0.660135061,0.492697821,0.443302954,0.369426846,0.595942786,0.747635633,0.66670324,0.706816539,0.685383106,0.583734785,0.476460988,0.659613726,0.519921457,0.244687668,0.280360371,0.610321271,0.473742519,0.667909286,0.604974903,0.562740476,0.63629721,0.597884834,0.605284631,0.325506305,0.710015386,0.579324112,0.71227993,0.391151856,0.664128451,0.555560808,0.560034285,0.594772898,0.726237746,0.658931562,0.322878818,0.475512359,1,0.741017309
United States,1,0.04580391,0.340963598,0.775445809,0.768104499,0.356289136,0.879556928,0.607601246,0.632612361,0.66811567,0.647411405,0.813457767,0.698990408,0.849874375,0.752088868,0.771645231,0.346560542,0.687710443,0.680352043,0.319870397,0.104160395,0.639440436,0.713645076,0.747003396,0.706207683,0.549446958,0.687468698,0.559710075,0.832489365,0.701481999,0.844560119,0.579523397,0.732356827,0.543280973,0.790986931,0.584480021,0.57955443,0.622787425,0.763735698,0.549554271,0.402773015,0.60354851,0.741017309,1
